страна,категория,описание
Georgia, 360, Описание страны
Armenia, 180, Описание страны
Mexico, 180, Описание страны
Kyrgyzstan, 180, Описание страны
Azerbaijan, 90, Описание страны
Antigua and Barbuda, 90, Описание страны
Argentina, 90, Описание страны
The Bahamas, 90, Описание страны
Belize, 90, Описание страны
Bolivia, 90, Описание страны
Brazil, 90, Описание страны
Vanuatu, 90, Описание страны
Guyana, 90, Описание страны
Guatemala, 90, Описание страны
Honduras, 90, Описание страны
Grenada, 90, Описание страны
Dominica, 90, Описание страны
Kazakhstan, 90, Описание страны
Israel, 90, Описание страны
Qatar, 90, Описание страны
Kenya, 90, Описание страны
Colombia, 90, Описание страны
Costa Rica, 90, Описание страны
Cuba, 90, Описание страны
Madagascar, 90, Описание страны
Morocco, 90, Описание страны
Moldova, 90, Описание страны
Namibia, 90, Описание страны
Nepal, 90, Описание страны
Nicaragua, 90, Описание страны
United Arab Emirates, 90, Описание страны
Panama, 90, Описание страны
Paraguay, 90, Описание страны
Peru, 90, Описание страны
El Salvador, 90, Описание страны
St. Vincent the Grenadines, 90, Описание страны
St. Kitts and Nevis, 90, Описание страны
Suriname, 90, Описание страны
Tajikistan, 90, Описание страны
Tanzania, 90, Описание страны
Turks and Caicos, 90, Описание страны
Trinidad and Tobago, 90, Описание страны
Tunisia, 90, Описание страны
Uruguay, 90, Описание страны
Fiji, 90, Описание страны
Chile, 90, Описание страны
Ecuador, 90, Описание страны
South Africa, 90, Описание страны
The Gambia, 60, Описание страны
Cape Verde, 60, Описание страны
Mauritius, 60, Описание страны
Samoa, 60, Описание страны
Turkey, 60, Описание страны
South Korea, 60, Описание страны
Bangladesh, 30, Описание страны
St. Lucia, 30, Описание страны
Barbados, 30, Описание страны
Bosnia and Herzegovina, 30, Описание страны
Botswana, 30, Описание страны
Timor-Leste, 30, Описание страны
Djibouti, 30, Описание страны
Dominican Republic, 30, Описание страны
Egypt, 30, Описание страны
Zambia, 30, Описание страны
Zimbabwe, 30, Описание страны
Indonesia, 30, Описание страны
Jordan, 30, Описание страны
Cambodia, 30, Описание страны
Laos, 30, Описание страны
Lebanon, 30, Описание страны
Madagascar, 30, Описание страны
Macau, 30, Описание страны
Malaysia, 30, Описание страны
Maldives, 30, Описание страны
Micronesia, 30, Описание страны
Mozambique, 30, Описание страны
Mongolia, 30, Описание страны
Myanmar, 30, Описание страны
Palau, 30, Описание страны
Seychelles, 30, Описание страны
Serbia, 30, Описание страны
Thailand, 30, Описание страны
Philippines, 30, Описание страны
Sri Lanka, 30, Описание страны
Eswatini, 30, Описание страны
Jamaica, 30, Описание страны
Bahrain, 15, Описание страны
Brunei Darussalam, 15, Описание страны
Vietnam, 15, Описание страны
Hong Kong, 15, Описание страны
Nauru, 15, Описание страны
Oman, 15, Описание страны
Uzbekistan, 15, Описание страны
